"GEOID","prox_hzw-tsdfs","wwdis","prox_rskmns","ppr80h","prox_npl","txcrls_rsei","hghvlr_wa","dslpm_wa","pm25_wa","ozn_wa","cardiod","lowbw","ppvrty_185","poc","pnmply","pndplm","phbrd","plmng","trnexp","dslpm_wa_z","dslpm_wa_mm","dslpm_wa_d","ozn_wa_z","ozn_wa_mm","ozn_wa_d","pm25_wa_z","pm25_wa_mm","pm25_wa_d","txcrls_rsei_z","txcrls_rsei_mm","txcrls_rsei_d","hghvlr_wa_z","hghvlr_wa_mm","hghvlr_wa_d","ppr80h_z","ppr80h_mm","ppr80h_d","prox_hzw-tsdfs_z","prox_hzw-tsdfs_mm","prox_hzw-tsdfs_d","prox_npl_z","prox_npl_mm","prox_npl_d","prox_rskmns_z","prox_rskmns_mm","prox_rskmns_d","wwdis_z","wwdis_mm","wwdis_d","cardiod_z","cardiod_mm","cardiod_d","lowbw_z","lowbw_mm","lowbw_d","pndplm_z","pndplm_mm","pndplm_d","phbrd_z","phbrd_mm","phbrd_d","plmng_z","plmng_mm","plmng_d","ppvrty_185_z","ppvrty_185_mm","ppvrty_185_d","poc_z","poc_mm","poc_d","trnexp_z","trnexp_mm","trnexp_d","pnmply_z","pnmply_mm","pnmply_d","envex.rnk_z","enveff.rnk_z","senspop.rnk_z","soecon.rnk_z","envex.rnk_mm","enveff.rnk_mm","senspop.rnk_mm","soecon.rnk_mm","envex.rnk_d","enveff.rnk_d","senspop.rnk_d","soecon.rnk_d","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","envex.scr_z","enveff.scr_z","senspop.scr_z","soecon.scr_z","envex.scr_mm","enveff.scr_mm","senspop.scr_mm","soecon.scr_mm","envex.scr_d","enveff.scr_d","senspop.scr_d","soecon.scr_d","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m"
5.3e+10,2.102091861,0.018588415,0.641548545,14.22,0.190181213,2852.289,80463.95826,10.78472392,0.435694919,53.42110219,185.34,2.14,23.19,32.4,5,8.67,31.69,7.57,25,0.837404488926067,0.119828992321649,7,10.4678114264932,0.786929629498418,5,9.97454773881381,0.7178474595,5,0.458500598624231,0.0251208873519417,8,1.21960924269304,0.30918720714686,7,1.17164016384603,0.242083758937692,7,0.633469668559625,0.0817807849460308,7,0.605093029797671,0.0537408348650327,8,0.711031505632762,0.0707247123795037,7,0.0721862801930993,0.0042118458639874,10,2.36646240370262,0.119120000514169,5,1.84276729900489,0.239641657334826,6,1.08341926289409,0.133920296570899,7,3.20620867143258,0.3169,6,1.00052351411541,0.145941777520725,7,1.65728851845749,0.2319,6,1.77532255140319,0.343127183069653,7,4.36347933735488,0.530612244897959,6,1.61524171372157,0.15015015015015,6,8.13211638725059,0.587590808996206,2.84580341990317,3.34399398266844,0.484031533987652,0.105624091237852,0.308250095845549,0.408136323653847,7,5,5,7,0.56241426611797,0.568587105624143,0.569958847736626,0.588477366255144,0.728395061728395,0.774348422496571,22.9578734955503,1.59671032401459,4.20922970270751,14.7014835693792,1.95891417581887,0.226270968496123,0.358761657848995,1.85255165220939,32,19.5,11,45,0.588477366255144,0.600137174211248,0.575445816186557,0.60082304526749,0.785322359396433,0.810699588477366,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1
53001950100,0.01762173,NA,1.196985209,37.76,0.014973348,0.2527,20000,1.738567,0.333813862,59.10282898,282.71,1.83,30.97,11.67,2.5,9.8,27.52,2.07,37,0.132157001418017,0.0189111003315507,2,11.5606824309599,0.869087450230456,10,9.2667250299091,0.666906931,2,0.000201298816872975,1.1029003926969e-05,1,0.286306048548007,0.0725824013471269,2,3.11119075856723,0.642832822608103,10,0.0053103442668947,0.000685564193574992,1,0.0476401867703667,0.00423112361915931,1,1.32662477689107,0.131956397203029,9,NA,NA,NA,3.60970425245909,0.181700741045433,10,1.57582437251353,0.204927211646137,5,1.22462615644314,0.151374729687983,7,2.78431248462684,0.2752,4,0.273590974137239,0.0399074609600925,3,2.21329130731472,0.3097,8,0.673453195397556,0.130162317649476,2,6.37739287767252,0.775510204081633,10,0.807620856860785,0.0750750750750751,2,7.51664382813399,0.826302938716616,3.50586595106955,3.26502097407845,0.398904477004497,0.181984742613956,0.332192977890373,0.387069836090308,2,2,9,5,0.597393689986283,0.632373113854595,0.561728395061728,0.579561042524006,0.449245541838134,0.377914951989026,21.2460718096519,2.24538303324778,5.18552862497262,14.3542878524528,1.62749891191306,0.389852953811933,0.38662795269157,1.75692978745426,17,10.5,15,36,0.554183813443073,0.58161865569273,0.47119341563786,0.491769547325103,0.324417009602195,0.307270233196159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53001950200,0.030748913,6e-09,0.887735378,37.61,0.01776035,0.8453,12000,0.814345,0.34707074,60.58847046,331.57,4.23,43.13,22.64,5.2,11.01,8.62,2.76,41,0.0601037251854769,0.00860058540286725,1,11.8464431787986,0.89056983945775,10,9.35882771880817,0.67353537,2,0.000296524871697623,1.6246364609592e-05,1,0.162820491729944,0.0412771659495616,1,3.09883168510893,0.640279196458972,10,0.00926624763078265,0.00119627038571994,1,0.0565074952580467,0.00501866625750875,1,0.983881621028085,0.0978645026436153,8,2.33004094768452e-08,1.35950672415719e-09,1,4.23355961581783,0.213103585682976,10,3.64247928728537,0.473684210526316,10,1.37582999820806,0.170064874884152,8,0.872121134356227,0.0862,1,0.364787965516318,0.05320994794679,4,3.08231366110701,0.4313,9,1.25654566213088,0.242860078076844,5,7.04869739111173,0.857142857142857,10,1.67985138227043,0.156156156156156,7,7.58223226654352,0.763323452687906,5.3248836553929,3.56660044674991,0.395436953749934,0.173734626942746,0.590092055199987,0.439945231946457,1,2,10,7,0.850480109739369,0.866941015089163,0.84636488340192,0.823045267489712,0.554183813443073,0.349108367626886,21.4284916393938,2.07424353616313,7.87603890310321,15.6801471947007,1.61399920717479,0.372179318552661,0.686787796209292,1.9969339142068,15,10.5,20,44,0.759259259259259,0.780521262002744,0.684499314128944,0.688614540466392,0.528120713305898,0.414951989026063,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
53001950300,0.095524404,2.639e-06,0.659930711,6.09,0.040202772,28.83363333,9000,1.345376,0.402047118,60.18209076,282.99,3.04,54.49,84.37,9.6,40.15,32.99,35.42,36,0.101503435786439,0.0145247065048251,2,11.7682766974895,0.884693585323091,10,9.74077829870576,0.701023559,4,0.00479402497992343,0.000262660859864551,2,0.11651340792317,0.0295377026754746,1,0.501778382406631,0.10367722165475,3,0.0287864739233846,0.00371632700052672,2,0.127911778098423,0.0113603783312107,3,0.731404553424136,0.0727511738427782,7,1.02482967713757e-05,5.97956374175138e-07,3,3.61327935482791,0.181880700040491,10,2.61776289204433,0.340425531914894,9,5.01721838583594,0.620172999691072,10,3.33773506060463,0.3299,7,4.68144555745942,0.682860998650472,10,3.89416349162348,0.5449,10,4.53770318003862,0.877028970618451,10,6.20956674931271,0.755102040816326,10,3.10126409034542,0.288288288288288,10,7.69130945256984,0.255740637829191,4.21272360695929,7.00100184128653,0.399557747617478,0.0446977699692161,0.448768541839946,0.902887664416546,2,1.5,10,10,0.947873799725652,0.944444444444444,0.936213991769547,0.837448559670782,0.710562414266118,0.464334705075446,21.7318658648848,0.694945718074673,6.23104224687224,30.7790965152202,1.63004221436326,0.0957528493928197,0.522306231955384,4.09825329806461,19,9,19,67,0.967078189300412,0.963648834019204,0.96159122085048,0.914266117969822,0.86076817558299,0.702331961591221,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
53001950400,0.097078124,NA,3.728857827,16.7,0.035580308,14.83566667,7211.92,1.006574,0.37870852,60.18209076,193.24,1.66,49.59,80.92,2.7,34.22,27.21,30.97,31,0.0750900912716608,0.0107450701416269,1,11.7682766974895,0.884693585323091,10,9.57863245781211,0.68935426,3,0.00254466429717032,0.000139420156373914,1,0.0889131511187644,0.0225406695117647,1,1.37597684502311,0.284303711270003,7,0.0292546906134803,0.00377677366489176,2,0.113204643241256,0.0100541763642816,3,4.13271203821734,0.411071616285306,10,NA,NA,NA,2.46733136339427,0.124197415017578,6,1.42943631605052,0.185890257558791,4,4.27619459933514,0.528575841828854,10,2.75294849951658,0.2721,4,4.09329104784072,0.597069597069597,10,3.54398178655916,0.4959,10,4.35432405422003,0.841586192726526,10,5.3704361075137,0.653061224489796,9,0.872230525409648,0.0810810810810811,2,7.61278129947879,1.03981376668611,2.63455206105741,5.74640507004791,0.393760638765042,0.165530003844315,0.266429125579582,0.764339025267592,2,2.5,4,10,0.835390946502058,0.851851851851852,0.840877914951989,0.812071330589849,0.476680384087792,0.429355281207133,21.5134570619892,2.82557410854759,3.89676767944479,25.263406620395,1.60747300513286,0.354603138792241,0.310087672576369,3.46937393719585,16,11,10,55,0.912208504801097,0.917009602194787,0.914266117969822,0.88477366255144,0.572702331961591,0.467078189300412,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
53001950500,0.100107063,NA,1.839507808,15.13,0.036453781,26.6277,9000,1.345376,0.402047118,60.18209076,255.43,1.97,44.34,89.33,8.2,46.95,26.09,40.93,35,0.101503435786439,0.0145247065048251,2,11.7682766974895,0.884693585323091,10,9.74077829870576,0.701023559,4,0.0044395492319953,0.00024323941230392,2,0.11651340792317,0.0295377026754746,1,1.24661854282633,0.257575757575758,7,0.0301674675572551,0.00389461295325464,2,0.115983742268332,0.0103009997361152,3,2.03873583151133,0.202788489903989,10,NA,NA,NA,3.26138713595425,0.164167593241254,9,1.69637924254189,0.22060470324748,5,5.86695898418425,0.725208526413346,10,2.63963345653758,0.2609,4,5.40969979296482,0.789088104877579,10,3.16878710256167,0.4434,10,4.80134389425897,0.92798438463119,10,6.04174062095291,0.73469387755102,10,2.64899641050338,0.246246246246246,9,7.69118200200268,0.631398542349206,3.35187896871725,6.95506949625577,0.399552759040146,0.110763113583402,0.330598587325312,0.909335673183273,2,2.5,8,10,0.928669410150892,0.932098765432099,0.919753086419753,0.866941015089163,0.666666666666667,0.532235939643347,21.7315113891368,1.71575279208162,4.95776637849613,30.5771602619636,1.63002279291569,0.237279930084558,0.384772296488735,4.12752113971938,19,11,14,63,0.965020576131687,0.964334705075446,0.965706447187929,0.934156378600823,0.779835390946502,0.673525377229081,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
53003960100,0.677638357,5.87e-07,0.186369696,12.61,0.008581455,299.463,7600,0.550575,0.352958852,53.15264893,178.04,2.31,17.98,7.1,2.5,7.09,17.41,0.4,37,0.0395399508197325,0.0056579974502554,1,10.4161748739534,0.783047792932671,5,9.39973561188366,0.676479426,2,0.0482819880371153,0.00264533216804413,4,0.0949034354800087,0.0240592864809006,1,1.03898610872703,0.214674838270344,6,0.204207700612984,0.0263631660314956,5,0.0273033204705786,0.00242492173008019,1,0.206554479133298,0.0205455117131558,5,2.27955672783831e-06,1.33005074513378e-07,2,2.27325437765843,0.114428212428739,5,1.9891553554679,0.258678611422172,7,0.885979535630806,0.109514983008959,6,1.76144187345034,0.1741,1,0.0528678210893215,0.00771158665895508,1,1.28495246062379,0.1798,4,0.430542295400174,0.0832134785288679,1,6.37739287767252,0.775510204081633,10,0.807620856860785,0.0750750750750751,2,7.06813241324053,0.271778567540326,2.88175772107592,2.63871313321512,0.364072039056259,0.0616200689594132,0.320575545620543,0.309519606338848,1,2,6,2,0.139917695473251,0.186556927297668,0.177640603566529,0.165980795610425,0.10082304526749,0.111796982167353,19.9986358601739,0.73852694425031,4.26240973312633,11.6007977207277,1.49188983503187,0.132004285375075,0.373106823850912,1.40492532735349,13,9.5,12,25,0.101508916323731,0.137860082304527,0.083676268861454,0.0877914951989026,0.0534979423868313,0.0644718792866941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53003960200,0.865708138,0.000670848,0.485950095,7.82,0.009068572,708.0966667,11205.41,1.686103,0.532540165,52.19351959,157.68,1.53,21.57,7.08,6.6,5.32,15.01,0.32,34,0.128066855236403,0.018325817947861,2,10.231687888929,0.769178774008134,4,10.6473839498502,0.7662700825,9,0.113946132398224,0.00624301901623287,5,0.150555443155936,0.0381678125752426,1,0.644319696292259,0.133129043241403,4,0.260882912598951,0.0336799225444538,6,0.0288531638896337,0.00256256978607903,1,0.538580954478252,0.0535714420483449,7,0.00260517218358748,0.000152003727814567,9,2.01329336255438,0.101342622645269,4,1.31749250816705,0.171332586786114,4,0.66479705635485,0.0821748532591906,4,1.51862392420962,0.1501,1,0.0422942568714573,0.00616926932716406,1,1.54151415882398,0.2157,6,0.429479228004124,0.0830080131497843,1,5.87391449259311,0.714285714285714,10,2.13211906211247,0.198198198198198,8,7.52583688220558,0.27144516075375,2.25189939521884,2.77563119571965,0.391375059252031,0.0520707645820275,0.234284120398694,0.319369841402809,3,3.5,3,3,0.135116598079561,0.154320987654321,0.100137174211248,0.107681755829904,0.151577503429355,0.259945130315501,21.2716402695698,0.737620949721342,3.33078587072143,12.2027421789696,1.59818550604747,0.111547490674048,0.272675209431383,1.44963604822005,21,13.5,8,31,0.157750342935528,0.177640603566529,0.0953360768175583,0.10082304526749,0.227023319615912,0.279835390946502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53003960300,1.144980081,0.001490323,1.581542706,29.11,0.009353509,978.881,25000,1.686103,0.532540165,52.19351959,176.51,3.28,48.08,13.22,9.4,13.73,32.8,2.66,29,0.128066855236403,0.018325817947861,2,10.231687888929,0.769178774008134,4,10.6473839498502,0.7662700825,9,0.15745899734675,0.0086270546794622,5,0.363484521559297,0.0921481734706052,3,2.39848418913909,0.495573714674838,9,0.345042082068383,0.0445448514924581,6,0.0297597381506332,0.00264308642608982,1,1.75283180085724,0.174350255907372,9,0.00578752269390478,0.000337684023277686,9,2.25371899685739,0.113444865062889,5,2.82442838352152,0.367301231802912,9,1.71572623754739,0.212079085573061,9,3.31851197295641,0.328,7,0.351571010243988,0.0512820512820513,4,3.43606864887607,0.4808,10,0.755840918591416,0.146085884528457,2,5.03478385079409,0.612244897959184,8,3.03665442179655,0.282282282282282,10,7.61803972348084,0.833872581897965,3.43326694016224,4.01447069827915,0.405852772623218,0.16745400818094,0.4130598328839,0.465466047509952,4,4,8,9,0.716735253772291,0.742798353909465,0.733196159122085,0.735253772290809,0.770233196159122,0.753086419753086,21.5280822129216,2.26595266645462,5.07814738037891,17.6491570608059,1.65454990260606,0.358724796262018,0.480746096865801,2.11277420162504,23,17,14,50,0.730452674897119,0.752400548696845,0.661865569272977,0.672153635116598,0.751714677640604,0.743484224965706,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
53003960400,0.723131875,0.001302192,0.936267842,26.27,0.009277398,421.929,16937.48,1.686103,0.400453635,52.19351959,232.52,3.16,47.38,11.54,13.5,16.45,35.01,1.09,29,0.128066855236403,0.018325817947861,2,10.231687888929,0.769178774008134,4,9.72970751197792,0.7002268175,4,0.0679612894717456,0.00372354562291775,4,0.2390339251147,0.0605982876584079,2,2.1644857316621,0.44722505958461,9,0.217917265025341,0.0281330675667342,5,0.0295175783974984,0.00262157920874753,1,1.0376703969811,0.103214751793457,8,0.00505693447113229,0.000295056463357283,9,2.96886715284846,0.149443091181367,8,2.72109563778293,0.353863381858903,9,2.05562247688671,0.254093296261971,9,3.5421068345489,0.3501,7,0.144064812468401,0.0210140736456526,2,3.38604269100974,0.4738,10,0.666543257323232,0.128826792685432,2,5.03478385079409,0.612244897959184,8,4.36115262704824,0.405405405405405,10,7.21116784002959,0.635656739882355,3.84690708570384,4.3650222622857,0.379525563361941,0.135720684703753,0.432443838855404,0.494703493781016,2,4,10,8,0.735939643347051,0.767489711934156,0.727023319615912,0.688614540466392,0.728395061728395,0.638545953360768,20.3964574707298,1.72732395326859,5.68996279063138,19.1903165500793,1.55205324273732,0.290744757308453,0.503306473040269,2.24548446595765,16,16,17,48,0.756515775034294,0.775720164609053,0.655006858710562,0.646090534979424,0.65843621399177,0.591906721536351,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
