"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m","frp_base","fri7_base","fri9_base","fri9_counts","fri7_counts","is_urban","frp_range","fri_any","fri_any_z"
53001950100,0.597393689986283,0.632373113854595,0.561728395061728,0.579561042524006,0.449245541838134,0.377914951989026,0.554183813443073,0.58161865569273,0.47119341563786,0.491769547325103,0.324417009602195,0.307270233196159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0.325102880658436,1,1
53001950200,0.850480109739369,0.866941015089163,0.84636488340192,0.823045267489712,0.554183813443073,0.349108367626886,0.759259259259259,0.780521262002744,0.684499314128944,0.688614540466392,0.528120713305898,0.414951989026063,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.6,1,0,4,9,0,0.517832647462277,1,1
53001950300,0.947873799725652,0.944444444444444,0.936213991769547,0.837448559670782,0.710562414266118,0.464334705075446,0.967078189300412,0.963648834019204,0.96159122085048,0.914266117969822,0.86076817558299,0.702331961591221,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.7,1,0,9,12,0,0.502743484224966,1,1
53001950400,0.835390946502058,0.851851851851852,0.840877914951989,0.812071330589849,0.476680384087792,0.429355281207133,0.912208504801097,0.917009602194787,0.914266117969822,0.88477366255144,0.572702331961591,0.467078189300412,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0.4,0,0,8,8,1,0.517009602194787,1,1
53001950500,0.928669410150892,0.932098765432099,0.919753086419753,0.866941015089163,0.666666666666667,0.532235939643347,0.965020576131687,0.964334705075446,0.965706447187929,0.934156378600823,0.779835390946502,0.673525377229081,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0.7,1,0,8,12,1,0.433470507544582,1,1
53003960100,0.139917695473251,0.186556927297668,0.177640603566529,0.165980795610425,0.10082304526749,0.111796982167353,0.101508916323731,0.137860082304527,0.083676268861454,0.0877914951989026,0.0534979423868313,0.0644718792866941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.146502057613169,0,0
53003960200,0.135116598079561,0.154320987654321,0.100137174211248,0.107681755829904,0.151577503429355,0.259945130315501,0.157750342935528,0.177640603566529,0.0953360768175583,0.10082304526749,0.227023319615912,0.279835390946502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.204663923182442,0,0
53003960300,0.716735253772291,0.742798353909465,0.733196159122085,0.735253772290809,0.770233196159122,0.753086419753086,0.730452674897119,0.752400548696845,0.661865569272977,0.672153635116598,0.751714677640604,0.743484224965706,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.8,1,1,1,13,1,0.138134430727023,1,1
53003960400,0.735939643347051,0.767489711934156,0.727023319615912,0.688614540466392,0.728395061728395,0.638545953360768,0.756515775034294,0.775720164609053,0.655006858710562,0.646090534979424,0.65843621399177,0.591906721536351,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.7,1,0,0,12,1,0.183813443072702,1,1
53003960500,0.534979423868313,0.566529492455418,0.589849108367627,0.606310013717421,0.578189300411523,0.572702331961591,0.508916323731139,0.540466392318244,0.465706447187929,0.482853223593964,0.547325102880658,0.55281207133059,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,2,1,0.140603566529492,1,0
53003960600,0.150891632373114,0.181069958847737,0.132373113854595,0.139917695473251,0.181069958847737,0.277091906721536,0.164609053497942,0.199588477366255,0.117969821673525,0.128257887517147,0.183127572016461,0.229080932784636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.182030178326475,0,0
53005010100,0.222908093278464,0.0795610425240055,0.216735253772291,0.197530864197531,0.113854595336077,0.083676268861454,0.211934156378601,0.0720164609053498,0.194787379972565,0.135802469135802,0.146090534979424,0.145404663923182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0.150891632373114,0,0
