"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53001950100,0.90293453724605,0.471783295711061,0.446388261851016,0.195259593679458,0.656884875846501,0.356094808126411,0.617381489841986,0.41647855530474,0.183972911963883,0.110045146726862,0.712189616252822,0.582392776523702,1,0,1,0,0,0,0,0,1,0,0,0,0.595480225989,0,0.792889390519188,3,0
53001950200,0.822799097065463,0.374153498871332,0.355530474040632,0.137697516930023,0.542889390519187,0.233069977426637,0.707110609480813,0.487020316027088,0.233069977426637,0.128103837471783,0.572234762979684,0.345372460496614,1,0,0,0,0,0,1,0,0,0,0,0,0.546892655367,0,0.69469525959368,2,0
53001950301,0.970090293453725,0.641647855530474,0.7313769751693,0.313769751693002,0.684537246049661,0.463318284424379,0.964446952595937,0.871331828442438,0.594243792325056,0.345936794582393,0.79627539503386,0.62979683972912,1,1,1,0,0,0,1,0,1,1,0,0,0.710734463277,1,0.656320541760723,7,0
53001950302,0.544018058690745,0.23589164785553,0.362302483069977,0.173814898419865,0.542889390519187,0.233069977426637,0.757900677200903,0.58352144469526,0.344808126410835,0.232505643340858,0.581264108352144,0.354401805869074,0,0,0,0,0,0,1,0,0,0,0,0,0.445197740113,0,0.584085778781038,1,0
53001950303,0.233634311512415,0.0886004514672686,0.0840857787810384,0.0400677200902935,0.505643340857788,0.29176072234763,0.385440180586907,0.251693002257336,0.104401805869074,0.0874717832957111,0.401241534988713,0.288374717832957,0,0,0,0,0,0,0,0,0,0,0,0,0.369209039548,0,0.465575620767494,0,0
53001950400,0.886568848758465,0.895598194130926,0.864559819413093,0.87020316027088,0.918735891647856,0.903498871331828,0.945823927765237,0.943002257336343,0.931715575620767,0.935665914221219,0.961625282167043,0.961625282167043,1,1,1,1,1,1,1,1,1,1,1,1,0.920903954802,1,0.09706546275395,13,1
53001950500,0.950902934537246,0.931715575620767,0.960496613995485,0.944130925507901,0.957674943566591,0.937358916478555,0.975733634311512,0.967832957110609,0.959367945823928,0.95372460496614,0.978555304740406,0.97234762979684,1,1,1,1,1,1,1,1,1,1,1,1,0.925423728814,1,0.0531315759264059,13,1
53003960100,0.263544018058691,0.132618510158014,0.198645598194131,0.133182844243792,0.456546275395034,0.124153498871332,0.296839729119639,0.194695259593679,0.13431151241535,0.102708803611738,0.477426636568849,0.261286681715576,0,0,0,0,0,0,0,0,0,0,0,0,0.468361581921,0,0.374717832957111,0,0
53003960200,0.49548532731377,0.33803611738149,0.575056433408578,0.428893905191874,0.542889390519187,0.385440180586907,0.507336343115124,0.400677200902935,0.373589164785553,0.288939051918736,0.594808126410835,0.547404063205418,0,0,0,0,0,0,0,0,0,0,0,0,0.425423728814,0,0.305869074492099,0,0
53003960300,0.709932279909707,0.75451467268623,0.734198645598194,0.766930022573363,0.900112866817156,0.880361173814898,0.778781038374718,0.808126410835214,0.836907449209932,0.849887133182844,0.91196388261851,0.923814898419865,1,1,1,1,1,1,1,1,1,1,1,1,0.868361581921,1,0.213882618510158,13,1
